Afterlight|afterlight-tidal-garden.bpow.chatgpt.site/|afterlight-tidal-garden-bpow-v2.webp|视觉场景|随时间与相遇变化的氛围世界|目录介绍一个受地点、时间与其他访客相遇影响的共享世界。|参考环境氛围与访客事件如何共同组织体验。|多人状态同步、事件影响与长期保存未验证。
Anatomy Atlas|anatomy-atlas.brianp.chatgpt.site/|anatomy-atlas-brianp-v2.webp|交互学习|分层观察人体结构|目录介绍带组织分层、剖切和学习视图的三维人体图谱。|参考分层显隐、剖面与文字解释如何帮助理解结构。|解剖准确性、标注依据与剖切交互未验证；仅作界面参考。
Astra Arcade|astra-arcade.antonioleivag.chatgpt.site/|astra-arcade-antonioleivag-v2.webp|游戏与协作|把六款小游戏装进街机|目录介绍以交互街机容纳六款原创浏览器游戏。|参考游戏集合入口、街机造型与单款游戏之间的切换。|六款游戏的规则、完成度、得分保存与输入兼容性未验证。
Aula Inteligente|aula-inteligente.guillermo23.chatgpt.site/|aula-inteligente-guillermo23-v2.webp|交互学习|双语三维科学实验课堂|目录介绍英西双语科学平台，包含三维实验室与模拟。|参考实验步骤、变量控制和多语言内容的组织方式。|科学模型、实验结论、课程完整性与学习效果未验证。
Baby's First Song|babys-first-song-jen.ciara-ai.chatgpt.site/|babys-first-song-jen-ciara-ai-v2.webp|交互学习|一周声乐练习安排|目录介绍一周试唱准备，包含发声热身、节奏和音高练习。|参考每日练习编排，以及听音、节奏与进度提示的结合。|是否录音、音高识别准确性和教学效果未验证。
Carotid Web Explorer|carotid-web-explorer.faisal1578.chatgpt.site/|carotid.webp|交互学习|观察血管与示意血流|目录介绍交互式三维血管模型和说明性的血流模拟。|参考管道剖面、流动方向和参数说明的可视化方式。|未核验生理模型、数据来源与模拟精度；不用于医疗判断。
ChatGPT Work Guide|work-guide.openai.chatgpt.site/|work-guide-openai-v2.webp|内容与叙事|用工作案例组织入门指南|目录介绍工作流程、示例和提示词组成的入门指南。|参考按任务组织说明、把操作步骤与具体示例放在一起。|本次只收录目录信息，未验证指南步骤或产品功能的适用条件。
Dailies|dailies.jonabrams.chatgpt.site/|dailies-jonabrams-v2.webp|游戏与协作|每日逻辑与文字小挑战|目录介绍网络、数字、网格等每日逻辑和文字谜题。|参考短时玩法、每日更新入口以及规则说明。|谜题生成、日期切换、解答正确性和进度保存未验证。
Daybreak Piano Film|daybreak-piano-film.lexn8.chatgpt.site/|daybreak-piano-film-lexn8-v2.webp|声音与表演|三维钢琴演奏与手指同步|目录介绍三维钢琴家演奏 AI 创作旋律，并同步手指动作。|可作为人物动作、琴键、音符和镜头编排的对照目标。|音符与动作同步精度、音乐生成方式、素材来源和视频导出未验证。
Digital Peony|peony.lewis-o.chatgpt.site/|peony-lewis-o-v2.webp|视觉场景|浏览器中的交互花朵|目录介绍在浏览器中生成、可交互观察的精细花朵。|参考花瓣层次、曲面造型和花朵局部细节表现。|程序建模方式、交互参数、资产导出与渲染实现未核查。
